title,summary,time,tag,link
恐龙,大概是33岁后，我发现鼻毛开始变长，溢出鼻孔。 有时遇到同样是1989年出生的人，我会觉得遇见了恐龙🦕 过去的两周，尝试恢复深夜站桩。脚下有点生根的感觉。 站桩要至少30分钟后，才会体会什么是所谓的心沉下来，心静的状态。前30分钟，呼吸仍是急促的。,07/12/2024 07/12/2024,冥想站桩,https://since1989.org/mashiqi/dinosaur.html
630 麦琳，“讨厌”赛道的流量女王,"麦琳证明： 招人喜欢的流量和话题度都远远不如一个招人讨厌的人。 内蒙古张金涛熏鸡董事长发布视频，致谢《再见爱人》，致谢麦琳。因为她在节目中提到熏鸡。熏鸡销量爆涨100倍以上。而客流太多，导致客服“回消息回到凌晨2点，打字打得关节痛。 其他熏鸡商家，也迎来了泼天富贵。只要打上“麦麦同款熏鸡”，产品图上也贴上麦琳照片，销量就能翻10倍以上，直接爆单。 据11月21日的百度搜索数据显示，《再见爱人4》的搜索指数4,122，环比增长高达2508%。搜索需求排名中，第一为芒果TV。第二是《再见爱人》。嘉宾之中，只有麦琳上榜，登上第四位。 抖音、微博、B站、小红书、知乎、豆瓣等平台都看到大量关于《再见爱人4》的切片、二创内容。 相关话题中，麦琳的个人讨论度，远超其他嘉宾。 豆瓣小组《再见爱人》组里，超7万网友参与讨论，最热讨论的前十位，还是集中在麦琳身上。 11月7日，芒果推出“加速观看礼”。 加速观看礼分两类：“会员专享”，“全员可购”。 “会员专享”指在平台vip的基础上，增加3元可购买单期抢先看，增加19元可购买打包抢先看。 “全员可购”分为23元、44元的“月卡+抢先看”礼包。 “熏鸡事变”后，数以万计的观众花钱也要追上这波八卦。 仅靠一期“抢鲜看”，芒果最少挣了两千万。 从叶珂到麦琳，为什么招人讨厌，会这么吸引流量呢？ 我们聊聊背后的营销逻辑。",03/12/2024 03/12/2024,新闻酸菜馆,https://since1989.org/mashiqi/dinosaur.html
扬州的冬天,我痛恨扬州的冬天。 在甘泉镇，父母谋生摆摊卖瓜子花生坚果干货。 每年春节前一个半月，是最忙的时候。 几次我在深夜的甘泉镇马路上，望着路灯照耀下的纷纷大雪，头脑空白。 彼时没有任何抒情浪漫可言，只有冰冷的天气，忙碌的父母，冻手冻脚的孩子，稀疏来往的行人。 有次寒冷的冬夜，醉醺醺的老爹拉货回家，破旧的三轮车上不了坡，母子俩费力在后面推，没有推上去，小车滑下坡道，一袋炒熟的瓜子洒落满地。 父亲严厉责怪，为什么袋子没有扎紧？！ 母亲弯下腰，赶忙用簸箕收拾装起瓜子。 我觉得这样的日子再也无法忍受。终于当场愤怒地大喝一声，不捡完又能怎么样！ 母亲没有说话。 有一年扬州的冬天极寒，扬州电视台报道，本市有的小区自来水管冻裂。 我蜷缩在木板床上，感觉左耳朵很痒，忍不住使劲抓，没几下功夫，抓掉一块东西。 一瞬间我有种错觉，我把左耳朵抓掉了。 困惑地我拿到眼前一看，原来是一大块已经结痂脱落的耳朵冻疮。 更可恶的是春节期间，必定有一天，母亲要洗衣服。 她会挑选阳光好的一天，这样打上来的井水也比较暖和，她的手不会冻得受不了。 因为出租房没有洗衣机。 我提议买个洗衣机吧。他们说，咱们是租房，带不走，麻烦，浪费。 终于在某年冬天，我网购了一台七百块钱的单桶涡轮洗衣机，寄到了扬州。 妈妈是开心的。 我给爸妈做过不少次饭。 早饭、午饭、晚饭。 一天晚上，我尝试做了西湖牛肉羹。 老爹用中原官话苏北片区方言说，这汤真好喝！,01/12/2024 02/12/2024,生活琐事,https://since1989.org/stuff/yangzhou-winter.html
鼻炎与咽炎,大学同学石头问，你是不是有鼻炎？ 我说有，很多年。 石头说，那你也有咽炎吧？ 奇怪，你咋知道。 石头说，这很正常，有鼻炎的人也会有咽炎。 鼻炎让我有一个习惯，是用力吸鼻子，鼻腔内的东西会被吸到嘴巴里，吐掉。如果鼻子里有病菌，自然就顺带附着到咽喉部位了，然后导致病菌繁殖，引发咽炎。 我想，这大概是原因。,01/12/2024 01/12/2024,生活琐事,https://since1989.org/stuff/yangzhou-winter.html
629 日本旅行见闻：一个适合孤独终老的地方,日本文化的几个关键词：一生悬命、迷惑、物尽其用 内容概要： 签证：五年日签、 visit japan web二维码 航班：春秋Japan东京-浦东 成田：市区65公里、大巴（USB充电、wifi）最便宜直达东京车站 交通卡：iPhone免费交通卡suica、pasmo、各种颜色快慢车 流量：美版iPhone手机、某esim套餐三天3G ¥40没用完、Google maps 现金：光大1万日元、汇率低（支付宝、微信、银联闪付、携程）、杂货店daiso刷五笔、711便利店早饭 住宿：极乐汤 capsule胶囊旅馆 广播、闹钟、止语、男女分区、洗澡、看漫画、卫生间、钥匙鞋、饮用水、桑拿、吸烟室、一次性牙刷剃须刀、日本男性体毛、纹身、地铁直达的旅馆便宜 白领、小时房、加班 餐饮： 不用大众点评Tripadvisor 走哪吃哪、大丸、伊势丹、高岛屋、京王百货、银座、komehyo 2街、 ragtag 药妆、中文导购 景点：明治神宫新尝祭、筑地海鲜市场,25/11/2024 25/11/2024,新闻酸菜馆,https://since1989.org/podcast/japan-tokyo.html
628 女理发师晓华，救活一座城市,本期内容： 1、湖南怀化理发师晓华 2、理发店红白蓝灯箱起源 3、天下苦Tony老师久矣！ 4、在英国免费理发的办法 5、中国2.5亿脱发人群 6、什么是“雄激素脱发” 7、药物：米诺地尔、非那雄胺 8、洗发水是脱发阴谋吗？ 关注公众号：酸菜馆播客 加主播微信，申请成为节目会员！,18/11/2024 19/11/2024,新闻酸菜馆,https://since1989.org/podcast/japan-tokyo.html
久睡梦繁,一周来，感觉房间有股怪味。 久睡不醒且多梦。 有些梦境，让我心头一紧，巨大的悲伤涌现，情难自控。 仿佛是一位垂暮的老人，在咀嚼遗憾的岁月。 11月16号，早起去浦东18号线，考摩托车驾照理论。科目一100分，科目四98分，因为看错了选项，所以选错。 中午吃了巨难吃的西北拉面和炒青菜。 然后去盒马金杨店，点了牛上脑肉，现场煎牛排，巨油，巨难吃。 骑车回到房间，从周六下午两点半睡到深夜。睡醒发现是当夜11点钟，一天还没结束。 于是接着再睡。 直到周日早晨6点半。 起床练金刚功。 冲蛋花汤，吃坚果。 穿羽绒服，到河边打弹弓。,17/11/2024 17/11/2024,生活琐事,https://since1989.org/stuff/motor.html
627 “瑞士卷吃几块”背后的配得感恐慌,美国在讨论7个摇摆州该怎么分？中国在讨论8个瑞士卷该怎么分？ 一女子在网络上发布的一则视频。视频记录了她与老公的一次争吵：家里买了一盒瑞士卷，总共8个，女儿吃了2个，儿子吃了2个，老公吃了2个。夜深孩子们都睡了以后，她拿出剩下的2个瑞士卷自己吃，还没进嘴里，就遭到了老公的一顿批评，理由是家长应多以身作则多吃正餐少吃零食，而且如果妈妈吃了，孩子就没得吃了。 关于这件家庭琐事的讨论匪夷所思地连续多日冲上热搜，瑞士卷或成双十一最大赢家？ 无数博主纷纷拍下对老公的灵魂质问：我可以吃几块瑞士卷？ 而这件事透露出的本质仅仅是瑞士卷的分配问题吗？ 本期节目里，我们谈到三个话题： 1、隐形的权利让渡 2、配得感的缺失 3、消费平权主义 节目还有一个讨论，以下几项的重要性在你心中如何排序？ 本人、父母、孩子、配偶、朋友 当然，还可以加一个：众人,11/11/2024 11/11/2024,新闻酸菜馆,https://since1989.org/stuff/motor.html
626 姜萍事件真相大白，这个时代还有怀才不遇吗？,江苏省涟水中等专业学校发布情况通报：据调查了解，在 2024 阿里巴巴全球数学竞赛预选赛中，我校教师王某某对指导的学生提供帮助，违反了预选赛关于“禁止与他人讨论”的规则。经研究，我校给予王某某诫勉谈话处理，取消本年度评先评优资格。 新闻酸菜馆邀请你一起观看百老汇经典音乐剧《我，堂吉诃德》十周年版封箱轮北京场！ 巡演时间: 10月25日-11月17日北京 二七剧场 十周年封箱之作，不可错过，快来看看吧!酸菜馆专属优惠（可选座，两张同价位票档及以上下单立享优惠）:满500减200满1000减600购买链接：https://ticket.antank.cn/ws/XzwMupXfrNU3,04/11/2024 04/11/2024,新闻酸菜馆,https://since1989.org/podcast/jiang-ping.html
625 去瑞士安乐死的沙白，反转了吗？,今天的节目，将讨论一个很有争议的人物。 上海姑娘沙白，今年43岁，海归回国当了托福老师，薪资不菲，之后创业也赚了不少钱。 她会钢琴、拳击、街舞、潜水、跳伞……热爱旅行，足迹遍布40多个国家。 她体验了很多人可能一生都没机会接触的东西，但同时也为之付出了“代价”。 20岁时，沙白被诊断出红斑狼疮，她几乎从未遵循医嘱，她说：我宁可少活40年，也要享受阳光、沙滩，享受美好的身材给我带来的各种男性的爱慕、爱情和自由，如果我不能再晒太阳，这样的人生还有什么意义？ 于是，她在得到了许多人的爱的同时，也如自己所愿，过了极好的一生。 确定没有康复可能后，她买了一张去瑞士的单程票，决定在父亲的陪同下，安然赴死。 人们对她这样的选择有很争议的评价，有人认为她潇洒，有人认为她自私。 关于生死的讨论，其实是格外沉重，且覆盖面非常广的话题，所以这期节目长达80分钟，且我们也只讨论了很小的范畴。 如何看待沙白的选择？她是否需要完美？ 如何选择生命的长度和厚度？ 我们是否愿意为自己的选择付出代价？ 欢迎收到大家的评论！ 音乐剧《我，堂吉诃德》酸菜馆专属优惠（可选座，两张同价位票档及以上下单立享优惠）:满500减200满1000减600购买链接：https://ticket.antank.cn/ws/XzwMupXfrNU3,28/10/2024 28/10/2024,新闻酸菜馆,https://since1989.org/podcast/jiang-ping.html
624 杨笠究竟惹怒了谁,京东官宣，杨笠、赵晓卉等脱口秀演员，成为了京东双十一的直播大使。 刘韧：只有人上人才可以迷一样地自信吗？取笑普信男安全，是因为大多普信男不认为自己是普信男。为何不挖苦真正能伤害女人的人上人男的邪恶自信呢？自信面前，难道不该人人平等吗？ 新新默存：京东成为本场抵制风波中饱受诟病的第三方，可以女权视之的人应该感谢京东。京东提供了测试的机会，一是测试出杨笠为代表的剧场女权的流行，实际上流行的范围有限；二是再次测试出女权阵营的松散与投机，以女权的名义背刺女权的杨笠即是明证。 因为刘强东的美国性丑闻，以及京东铁血捍卫的兄弟文化，京东早已成为女权愤恨的超级平台，父科病的集大成者。京东的男权标签是如此醒目，杨笠的女权旗帜是如此鲜明，泾渭分明的两者竟然合流。杨笠被其他女权人士斥责为吃脏钱，逻辑上是成立的。 有网友截图显示，因京东双十一请杨笠做代言人，网上开始出现大批量呼吁对京东plus会员发起退款，消费者们向京东金融发起了挤兑行为。对此，京东表示，京东金融平台不存在网传“挤兑”，相关言论完全失实。,21/10/2024 21/10/2024,新闻酸菜馆,https://since1989.org/podcast/yangli.html
解开胎息谜团,2017年8月，我百日筑基功成，偶得胎息体验，大为惊慌，不解其理，只写文记叙此事。 2024年10月假期，我在浙江金华古子城旧书摊，偶遇一本旧书。有幸读到李锡堃所著《丹道养生功》，终于解开心中疑团。 当时我体验的，是气满后，生热安炉，炼精化气，玄关一窍为始，沿脊椎向上蒸腾而起的精气。 所谓玄关一窍，诸家语焉不详，讳莫如深。李锡堃在他的书里很直接地说了位置，各人自己去找。 所言非虚。 本周开始读《伍柳仙宗》，感叹颇多。 前人求道之心诚，治学之严谨，济世之大德，皆为我辈楷模。 我已年35岁，常有流年恍惚之感。 人生苦短，所谓何求？ 云在青天水在瓶。,20/10/2024 20/10/2024,冥想站桩,https://since1989.org/podcast/yangli.html
寿终正寝的公鸡,幼时，我在四户镇的时候，读小学的年纪。某个夏天的傍晚，天色似被，柔和地渐渐铺在天空。 我在自家院子里，坐板凳上写作业。 家里的那只大公鸡，闲庭阔步，它慢慢走到我的左前方，天线木杆下面，停了一会，转个头，一歪，倒下，走了。 善哉！ 公鸡为纯阳辟邪之禽，啄食阴湿邪物，大无畏，气宇轩昂。身披五彩，精气神具足，令人赞赏。 近三十年已过，此景难忘，触动难释，是为记。,20/10/2024 20/10/2024,生活琐事,https://since1989.org/stuff/chicken.html
623 玩不起别玩！说说消费的那些坑,本期话题： 买的没有卖的精，真是恒古不变的真理。 消费券实用不实用？ 叮叮如何因为一张消费券在十一假期跑断腿的？ 无理由7天退换货真的丝滑吗？ 为什么买电子产品去找浙江卖家？ 一起说道说道。,14/10/2024 14/10/2024,新闻酸菜馆,https://since1989.org/stuff/chicken.html
622 走完浙江这条小众旅行路线，我酸了,2024国庆假期，主播从上海出发，探寻浙江东阳、义乌、金华、建德、严州古城、桐庐，深澳古村，再到杭州参观大运河紫檀博物馆，一路吃喝逛山川美景，十分喜欢。,08/10/2024 09/10/2024,新闻酸菜馆,https://since1989.org/podcast/fu-chun-river.html
621 那些生活中渐渐熄火的规则,有些规则（ding），曾经风风火火，却不知不觉中渐渐熄火了。 比如曾经严格要求的酒店入住人脸识别，定时定点的垃圾分类等等。 规则制定各有各的理由，但熄火的原因却大同小异。 还有什么规则，其实也形同虚设？,01/10/2024 01/10/2024,新闻酸菜馆,https://since1989.org/podcast/fu-chun-river.html
检查Mac可疑后门进程,1、查看系统活动监视器、使用terminal显示当前进程launchctl list 2、系统配置面板，查用户登录项 3、查系统启动项配置文件/Library/LaunchDaemons/Library/LaunchAgents~/Library/LaunchAgents,24/09/2024 24/09/2024,网络安全,https://since1989.org/security/mac-spyware.html
620 成年人的觉醒，从“祛魅”开始,你是什么时候开始“祛魅”的？ 过去执著的东西，深信不怀疑的观念，有光环的人物，种草的品牌，突然就粉转路人了，突然就拔草了，祛魅了。 对明星基金经理祛魅 饭圈文化外溢，基金公司也在包装自家的明星经理，某坤、刘某菘、葛女神、丘某荣、但某、谢某宇、蔡某松，王某伟，名单很长。 过去的业绩很亮眼，基民疯狂追星涌入，结果买的基金被深度套牢，甚至大跌超50%以上。 数百亿上千亿的基金规模，一年管理费稳赚数十亿，基民颗粒无收。 基民不禁感慨，到底明星基金经理的业绩，是因为他们择股择时能力强，还是他们踏上了时代的红利。 一个显著的事实是，基金“金牛奖”基金经理得主名单，年年不一样，今年是第一名的基金经理，明年基金业绩跌出榜单。 多数股票型基金经理，长期业绩根本打不过沪深300指数收益，尴尬啊！ 高学历、海外留学祛魅 985、211毕业即失业，甚至厦门大学、浙江大学高材生送外卖，已经不算是热门新闻了，因为类似现象越来越多了。 父母鸡娃送孩子出国留学，少说费用也有一两百万吧，结果根本在海外留不下来，无奈只能回来，美名回来报效祖国。 结果回国也找不到工作，或者终于找到几千块月薪的普通岗位，每天无聊处理些琐事打发日子，上班一辈子也挣不回自己的教育成本。 甚至周围的人无情嘲笑，拼命搞学区房、欧美留学、几百万投入，包装简历，最后也不过如此嘛！ 当事人无奈自我心理按摩，毕竟收获了一种经历，见过了一些风景。 还有中国人对房子的祛魅： 房价下跌，学区房贬值，几十年努力白忙活，北上广深，无一避免。 我们的社会集体共识，正在解构崩塌。 新的社会共识，在缓慢形成。 这就是祛魅的过程。,23/09/2024 24/09/2024,新闻酸菜馆,https://since1989.org/security/mac-spyware.html
多重梦境,（一）大学活动 一堆老同学们，参加学院的活动。 年轻的面庞，轻快的步伐。 遇见了室友们。 欢乐的气氛占主。 （二）王小波妻子 意外地梦到王小波的妻子。 近距离感受一对知识分子的家庭生活。 看到他们两人的手稿。 王小波的妻子热情，才情，饱和于一身。 令我吃惊的是，他们住在砖瓦的民宅，是民国的风格。 她住在卫生间里。 青灰色的砖，发亮。 我感到不可思议。 彼刻似乎感觉到身处梦境。 梦醒，想到现实中的他的爱人是李银河，梦中女子与现实中李老师两个人的形象，南辕北辙。 （三）解梦 今年中秋节回老家，看到书桌上的王小波全集。 每次回徐州的房间，睡眠质量都显著变差。 越发感到衰老的痕迹。 爸妈的皮肤的颜色、我那变长的鼻毛、熬夜后的疲惫。 破碎的心。 2024年9月，开始听古典音乐。 拉赫的作品有治愈效果。 抑郁的人不妨去听。,21/09/2024 21/09/2024,梦,https://since1989.org/dream/wang-xiao-bo.html
619 蜀道行，讲讲那些景点外的历史真相,从先秦到民国，在2300年的历史长河里，连接中原和蜀地的道路被称为蜀道。 大多数人对蜀道的印象还停留在李白的诗句里，那这条路到底有多难呢？ 在这里，扁平的历史印象变得立体起来，很多真相也只有亲自探访才能真正得知。,16/09/2024 16/09/2024,新闻酸菜馆,https://since1989.org/dream/wang-xiao-bo.html
